Pd_bus1,Pd_bus2,Pd_bus3,Pd_bus4,Pd_bus5,Pd_bus6,Pd_bus7,Pd_bus8,Pd_bus9,Pd_bus10,Pd_bus11,Pd_bus12,Pd_bus13,Pd_bus14,Pg_gen1,Pg_gen2,Pg_gen3,Pg_gen4,Pg_gen5,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,Total_Cost
0,19.07642917,85.92948561,42.93063849,6.882287453,9.976807237,0,0,25.07130733,7.864654681,2.964601388,5.63441643,12.41073843,12.3498755,231.0912417,0,0,0,0,0,-9.58433217,-21.92063035,-17.88167005,-15.41466344,-24.78358926,-23.07676283,-23.07676283,-25.80970161,-26.27859351,-25.8338289,-26.52177598,-26.75372043,-28.1016454,161.9795871,69.1116546,62.31397779,47.0584045,33.53077566,-23.61550782,-58.58481618,24.84263955,14.25443482,37.17532663,5.280239506,6.794834932,15.12344495,0,24.84263955,5.549016563,8.476750477,-2.315638118,1.160418502,3.873125026,1830.462402
0,22.40888894,90.26247728,47.65360697,7.840856852,10.56761954,0,0,30.46118318,9.335238172,3.620993286,6.024142126,13.85568621,15.26650724,257.2971998,0,0,0,0,0,-10.65305505,-23.9259634,-19.95508665,-17.23111319,-27.95677729,-26.14350154,-26.14350154,-29.39898893,-29.91931465,-29.30900504,-29.91518873,-30.24130985,-32.09027151,180.0414914,77.25570835,67.04504902,52.75653129,37.83102221,-23.21742827,-64.68709226,29.59264965,16.97993866,42.55878144,6.798530672,7.655726667,17.53690456,0,29.59264965,6.157700786,9.953704342,-3.177537387,1.631584541,5.312802894,2038.038512
0,21.25060029,84.78937778,45.6980321,6.987437508,10.17470134,0,0,27.4463954,8.71987919,3.160270479,5.660359715,12.82969689,14.53451946,241.2512702,0,0,0,0,0,-9.993928882,-22.44832005,-18.70637514,-16.13679048,-26.1342399,-24.40101521,-24.40101521,-27.39674663,-27.88996671,-27.33623749,-27.9618779,-28.25853056,-29.98515742,168.9019585,72.34931169,62.91049738,49.41269426,35.32816653,-21.8788804,-61.02077075,27.23144643,15.62510608,39.66926997,6.043225725,7.144513515,16.30682938,0,27.23144643,5.836923943,9.573233165,-2.882955247,1.4841538,4.961286297,1910.93949
0,20.23136211,90.27463623,44.51700115,6.787010097,9.76832388,0,0,28.23745499,8.303628692,3.372734633,5.792621125,13.08858896,13.48156289,243.8549247,0,0,0,0,0,-10.11378182,-23.10030668,-18.87993831,-16.26572662,-26.20545802,-24.54110862,-24.54110862,-27.51923289,-27.98192966,-27.43876967,-28.04577011,-28.3258894,-29.92331947,170.9275278,72.92739698,65.59844857,49.7173122,35.3804049,-24.67618766,-62.08054341,27.07139594,15.53327086,39.44024837,6.200661908,7.194058446,16.27720414,0,27.07139594,5.475701418,8.891510388,-2.827927274,1.401437321,4.5900525,1931.56291
0,17.82431098,78.10981953,40.34101432,6.60114294,9.85165524,0,0,24.28851314,7.694657624,2.817785049,4.83273195,11.02499024,12.06792165,215.4545427,0,0,0,0,0,-8.924853918,-20.26834316,-16.70907407,-14.4129427,-23.2474578,-21.69506706,-21.69506706,-24.31800646,-24.76199962,-24.29329106,-24.8034701,-25.05331122,-26.47579226,150.8341037,64.62043891,57.29903139,44.14825402,31.56250734,-20.81078814,-54.52698581,23.84273618,13.6807012,35.05481751,5.258085769,6.082687517,13.86238898,0,23.84273618,5.254356904,7.980567341,-2.44030072,1.249955567,4.087354305,1706.604875
0,17.45894504,73.98545461,37.42674502,6.687780687,9.228533635,0,0,23.68921664,7.885755202,3.009416919,4.819854026,11.10991925,12.94974995,208.251371,0,0,0,0,0,-8.617094974,-19.44603241,-16.14762248,-13.96643779,-22.76143435,-21.1696248,-21.1696248,-23.81150733,-24.27919124,-23.82762809,-24.3370212,-24.60473115,-26.1287985,145.6328371,62.61853384,54.69989108,42.70943459,30.76456644,-19.28556353,-51.79730927,24.01493074,13.77950456,34.89801032,5.360451197,6.159207409,14.14981808,0,24.01493074,5.534720925,8.570497736,-2.351034277,1.339353383,4.379252212,1649.548905
0,17.54134416,77.52263054,37.20370159,6.541575246,8.789579597,0,0,24.26051686,7.315970162,2.746392963,4.753544106,10.57948214,11.62588217,208.8806195,0,0,0,0,0,-8.66445309,-19.79045536,-16.14372211,-13.92827002,-22.38794227,-20.99424281,-20.99424281,-23.54591545,-23.94553579,-23.44870151,-23.90859064,-24.14662783,-25.577592,146.4332109,62.44740861,56.20044586,42.41872177,30.27269913,-21.32218468,-52.61106857,23.19491536,13.30898871,33.56746393,5.333128396,5.944444589,13.50031134,0,23.19491536,4.729234729,7.514152483,-2.586735433,1.190900483,4.111729692,1654.533152
0,20.79397629,87.5136366,48.76295453,7.688265014,11.37931712,0,0,28.40435322,8.991531691,3.474930518,5.725611401,13.56505031,14.09062137,250.3902481,0,0,0,0,0,-10.35523962,-23.2828797,-19.48385342,-16.81319531,-27.2501033,-25.35945149,-25.35945149,-28.45037796,-28.98465571,-28.47207502,-29.10838505,-29.41593904,-31.01661782,175.0082748,75.38197322,65.30100559,51.77299112,37.14030184,-22.21263101,-63.42099523,28.09677732,16.12162348,41.41301482,6.143648647,7.264304555,16.6257445,0,28.09677732,6.322813562,9.491234028,-2.668718129,1.538693154,4.599387339,1983.328886
0,20.04907365,87.56050101,44.36947159,6.683224814,10.72925379,0,0,28.2933854,8.69209337,3.347525174,5.80216512,12.63258721,13.78710022,241.9463813,0,0,0,0,0,-10.02210408,-22.74833946,-18.76730066,-16.18562229,-26.27247701,-24.5155609,-24.5155609,-27.53949982,-28.0366058,-27.49704614,-28.09467242,-28.35872838,-29.99557472,169.3781322,72.56824914,64.283656,49.59843794,35.44696461,-23.27684501,-61.30796415,27.48785499,15.77223051,40.02402478,6.156707543,7.123237575,16.01482587,0,27.48785499,5.882911001,9.083789094,-2.809182369,1.321072455,4.703311123,1916.445431
0,20.23437846,87.5008132,43.86079693,7.326069605,10.5414634,0,0,28.31824156,8.093048414,3.418573224,5.740887926,12.68558784,14.16774388,241.8876044,0,0,0,0,0,-10.01965798,-22.72821093,-18.74210436,-16.18173323,-26.22761205,-24.46963925,-24.46963925,-27.48267538,-27.94279492,-27.43422299,-28.05102833,-28.32828632,-30.00820523,169.3367919,72.55081255,64.1943373,49.46941007,35.43866606,-23.30647589,-60.8019741,27.38874759,15.71536376,39.8614349,6.066419987,7.128010162,16.12554135,0,27.38874759,5.445201651,9.340668134,-2.647846762,1.387122235,4.827075747,1915.979862
0,17.11908269,77.42472403,38.75098655,5.934229917,9.430174852,0,0,24.75566462,7.567616871,2.887336188,5.110691213,11.12216461,12.24975154,212.3524231,0,0,0,0,0,-8.793751471,-20.02253796,-16.48134688,-14.21523371,-23.07754067,-21.5251238,-21.5251238,-24.17846111,-24.61068801,-24.13963523,-24.68340007,-24.91663128,-26.36516754,148.6184126,63.73401053,56.71963674,43.60024617,31.17944696,-20.70508729,-53.81413366,24.11905568,13.83925031,35.1650939,5.339841916,6.277547372,14.11752976,0,24.11905568,5.115111142,8.087530229,-2.452505728,1.166856159,4.162221314,1682.033138
